TRADEDATE,IMOEX,MOEX10
2014-06-09,1485.39,3302.46
2014-06-10,1490.81,3300.14
2014-06-11,1501.18,3326.47
2014-06-16,1493.93,3287.95
2014-06-17,1486.38,3264.44
2014-06-18,1494.28,3285.89
2014-06-19,1495.09,3281.93
2014-06-20,1486.3,3276.46
2014-06-23,1486.3,3281.91
2014-06-24,1518.83,3335.59
2014-06-25,1481.95,3266.71
2014-06-26,1473.18,3249.6
2014-06-27,1477.32,3248.15
2014-06-30,1476.38,3234.61
2014-07-01,1482.92,3242.76
2014-07-02,1514.33,3304.31
2014-07-03,1514.47,3310.85
2014-07-04,1489.53,3243.39
2014-07-07,1513.72,3309.48
2014-07-08,1516.75,3302.11
2014-07-09,1513.38,3298.97
2014-07-10,1494.92,3259.02
2014-07-11,1499.82,3283.82
2014-07-14,1483.41,3254.12
2014-07-15,1475.77,3250.98
2014-07-16,1474.72,3236.96
2014-07-17,1440.63,3159.06
2014-07-18,1422.53,3119.18
2014-07-21,1384.5,3036.83
2014-07-22,1405.97,3077.55
2014-07-23,1406.58,3073.75
2014-07-24,1408.8,3075.41
2014-07-25,1388.41,3031.48
2014-07-28,1361.94,2978.67
2014-07-29,1369.83,2993.39
2014-07-30,1382.14,3011.94
2014-07-31,1379.61,3000.17
2014-08-01,1374.83,3000.52
2014-08-04,1378.98,3009.07
2014-08-05,1357.89,2973.81
2014-08-06,1334.66,2894.0
2014-08-07,1333.53,2886.57
2014-08-08,1348.21,2920.62
2014-08-11,1372.45,2987.06
2014-08-12,1374.19,2976.56
2014-08-13,1398.85,3019.67
2014-08-14,1407.53,3045.45
2014-08-15,1417.82,3068.88
2014-08-18,1425.18,3070.63
2014-08-19,1437.6,3098.14
2014-08-20,1447.5,3117.27
2014-08-21,1461.75,3153.23
2014-08-22,1446.6,3119.11
2014-08-25,1454.67,3143.26
2014-08-26,1443.32,3119.25
2014-08-27,1447.91,3127.81
2014-08-28,1423.78,3058.79
2014-08-29,1400.71,3022.12
2014-09-01,1392.4,3002.38
2014-09-02,1400.35,3016.05
2014-09-03,1449.29,3140.44
2014-09-04,1457.34,3165.32
2014-09-05,1474.71,3217.17
2014-09-08,1464.76,3185.08
2014-09-09,1468.17,3201.65
2014-09-10,1468.55,3187.85
2014-09-11,1449.63,3158.73
2014-09-12,1458.52,3171.14
2014-09-15,1454.19,3158.16
2014-09-16,1477.31,3225.7
2014-09-17,1449.37,3170.88
2014-09-18,1448.63,3160.04
2014-09-19,1431.58,3117.77
2014-09-22,1412.83,3079.12
2014-09-23,1429.45,3118.66
2014-09-24,1441.83,3146.64
2014-09-25,1436.05,3141.59
2014-09-26,1434.2,3141.43
2014-09-29,1408.28,3095.35
2014-09-30,1411.07,3110.64
2014-10-01,1399.99,3077.75
2014-10-02,1376.35,3030.54
2014-10-03,1384.66,3028.18
2014-10-06,1418.15,3099.29
2014-10-07,1403.48,3063.17
2014-10-08,1379.76,3006.62
2014-10-09,1384.33,3014.98
2014-10-10,1364.24,2980.5
2014-10-13,1383.93,3009.95
2014-10-14,1394.16,3028.08
2014-10-15,1377.09,2998.44
2014-10-16,1360.33,2964.84
2014-10-17,1384.72,3017.55
2014-10-20,1376.36,3001.45
2014-10-21,1383.35,3039.9
2014-10-22,1383.35,3022.19
2014-10-23,1372.92,3014.79
2014-10-24,1380.39,3033.22
2014-10-27,1394.27,3059.08
2014-10-28,1415.51,3112.02
2014-10-29,1439.58,3155.8
2014-10-30,1452.89,3177.03
2014-10-31,1488.47,3240.4
2014-11-03,1491.19,3262.37
2014-11-05,1495.26,3259.38
2014-11-06,1497.46,3264.65
2014-11-07,1497.11,3275.41
2014-11-10,1515.36,3324.17
2014-11-11,1514.78,3320.48
2014-11-12,1513.83,3324.97
2014-11-13,1492.27,3273.95
2014-11-14,1500.76,3270.45
2014-11-17,1507.1,3278.36
2014-11-18,1519.61,3320.06
2014-11-19,1517.97,3335.06
2014-11-20,1530.4,3358.6
2014-11-21,1538.93,3376.11
2014-11-24,1529.54,3361.74
2014-11-25,1529.57,3364.89
2014-11-26,1537.43,3382.02
2014-11-27,1531.69,3365.61
2014-11-28,1533.68,3362.93
2014-12-01,1578.38,3453.76
2014-12-02,1583.12,3485.22
2014-12-03,1606.84,3508.71
2014-12-04,1582.08,3494.02
2014-12-05,1529.2,3383.67
2014-12-08,1481.27,3290.02
2014-12-09,1475.22,3288.34
2014-12-10,1486.85,3304.8
2014-12-11,1455.04,3251.29
2014-12-12,1459.68,3244.7
2014-12-15,1424.99,3130.84
2014-12-16,1444.32,3099.3
2014-12-17,1413.79,3037.23
2014-12-18,1477.27,3169.03
2014-12-19,1449.13,3099.96
2014-12-22,1437.08,3126.03
2014-12-23,1398.2,3053.9
2014-12-24,1401.5,3072.93
2014-12-25,1408.54,3117.88
2014-12-26,1417.8,3121.85
2014-12-29,1432.94,3129.08
2014-12-30,1396.61,3039.96
2015-01-05,1435.66,3110.36
2015-01-06,1480.73,3192.26
2015-01-08,1547.39,3375.77
2015-01-09,1515.37,3332.8
2015-01-12,1513.22,3293.74
2015-01-13,1533.09,3322.23
2015-01-14,1554.46,3356.97
2015-01-15,1563.21,3396.45
2015-01-16,1591.43,3469.18
2015-01-19,1576.4,3448.97
2015-01-20,1570.97,3439.79
2015-01-21,1618.17,3545.6
2015-01-22,1666.56,3656.02
2015-01-23,1671.8,3672.47
2015-01-26,1642.37,3586.54
2015-01-27,1673.92,3653.9
2015-01-28,1647.71,3594.91
2015-01-29,1639.65,3607.76
2015-01-30,1647.69,3610.7
2015-02-02,1625.31,3593.38
2015-02-03,1654.36,3648.78
2015-02-04,1656.02,3608.82
2015-02-05,1696.06,3709.95
2015-02-06,1755.45,3829.29
2015-02-09,1748.55,3834.04
2015-02-10,1742.35,3811.58
2015-02-11,1763.6,3875.16
2015-02-12,1802.8,3966.3
2015-02-13,1838.18,4071.78
2015-02-16,1800.59,3997.73
2015-02-17,1793.82,3976.95
2015-02-18,1809.67,4014.42
