TRADEDATE,GAZP,GMKN,LKOH,ROSN,VTBR,SBER,SBERP,MGNT,SNGS,MOEX,ALRS,SNGSP,HYDR,CHMF,FEES,AFLT,YNDX,TATN,TRNFP,RTKM,MTSS,NVTK,MAGN,PLZL,POLY,MTLR,NLMK,AFKS
2014-06-09,144.4,7029,2025.0,240.36,0.04731,88.89,73.4,8949.0,26.942,65.66,40.8,27.48,0.7299,296.5,0.05968,58.84,1172.1,207.63,77050,87.69,297.55,405.93,6.835,511.6,314.79,49.7,49.42,44.448
2014-06-10,144.75,6900,2061.4,242.8,0.047,88.99,73.33,9100.0,27.394,63.88,40.65,27.55,0.7088,293.4,0.05965,58.85,1170.0,211.0,77055,88.8,296.63,401.37,6.762,507.0,316.49,53.2,48.6,45.499
2014-06-11,146.4,6940,2097.9,249.66,0.04698,89.0,73.69,9070.0,27.559,65.65,40.3,28.15,0.74,292.5,0.06015,58.74,1179.9,213.0,76510,88.06,301.2,400.7,6.77,512.8,314.59,51.4,48.33,45.3
2014-06-16,145.2,6649,2149.0,253.3,0.04643,84.85,69.45,8899.0,27.351,65.65,40.038,28.27,0.732,285.4,0.0592,56.89,1165.0,219.25,75637,84.3,305.75,407.99,6.848,517.0,324.0,52.0,48.3,45.999
2014-06-17,144.77,6622,2130.0,251.59,0.0468,83.8,67.34,8799.0,27.792,66.3,39.878,28.2,0.7425,286.5,0.05808,55.06,1185.5,222.77,76065,83.22,301.0,408.34,6.857,513.1,311.5,55.5,48.39,46.1
2014-06-18,145.0,6780,2126.9,250.87,0.04595,83.77,67.59,8912.0,28.184,66.96,40.459,29.1,0.755,291.9,0.05875,55.3,1182.9,224.7,78160,84.4,303.0,414.5,6.8,511.2,308.0,53.7,49.17,46.6
2014-06-19,145.2,6839,2112.1,249.89,0.0457,84.8,67.67,8890.0,27.248,67.5,42.0,28.411,0.7547,294.0,0.059,55.64,1168.0,224.64,76627,84.32,307.42,416.95,6.773,502.5,323.5,51.0,48.97,46.599
2014-06-20,145.6,6865,2100.0,250.11,0.0449,84.16,67.1,8815.0,27.186,68.31,41.0,27.859,0.708,286.2,0.05725,55.68,1175.0,223.63,75124,84.1,308.0,419.63,6.728,504.6,327.91,50.8,47.8,46.0
2014-06-23,147.17,6899,2082.6,252.3,0.04466,83.68,67.6,8869.7,27.275,69.8,41.1,28.25,0.696,285.1,0.0583,56.38,1196.0,225.95,74623,84.59,306.15,421.43,6.601,502.0,330.51,51.2,46.85,45.5
2014-06-24,153.25,6895,2099.1,257.81,0.0441,86.5,69.66,9118.0,27.8,68.36,43.4,28.75,0.727,291.8,0.05982,58.49,1191.8,229.82,77600,88.04,316.0,427.45,6.699,499.7,327.9,50.5,47.46,46.45
2014-06-25,149.26,6766,2037.4,250.0,0.0431,84.4,69.04,8940.0,26.717,66.18,42.5,28.16,0.7037,284.5,0.05919,56.75,1176.8,224.92,74504,86.15,302.71,417.5,6.56,484.8,317.99,51.1,45.8,45.1
2014-06-26,147.44,6720,2028.6,249.24,0.04279,84.1,69.4,8898.0,26.5,65.97,42.5,28.185,0.6915,280.1,0.0598,56.44,1185.0,221.14,73855,85.45,299.6,415.28,6.628,478.9,325.2,51.3,45.75,45.2
2014-06-27,149.39,6715,2021.0,249.49,0.04213,84.33,70.3,8820.0,26.6,66.17,42.0,28.255,0.6802,280.6,0.059,55.6,1185.0,222.48,74000,84.65,305.99,418.0,6.67,483.0,324.19,52.8,47.0,46.2
2014-06-30,148.96,6719,2036.0,249.3,0.0411,84.5,69.0,8860.0,26.436,67.45,41.8,28.0,0.67,279.0,0.05886,56.43,1218.0,221.88,74460,86.31,302.01,420.0,6.693,482.0,328.12,52.4,47.38,45.6
2014-07-01,148.97,6798,2063.9,250.16,0.04106,84.07,68.56,9068.0,26.673,65.05,42.2,27.811,0.6667,278.7,0.05895,56.68,1218.2,222.0,75425,86.75,307.2,413.4,6.679,485.2,347.15,51.2,47.72,45.143
2014-07-02,151.95,6920,2110.0,255.19,0.04182,85.79,69.4,9369.9,27.484,65.75,44.403,28.19,0.6906,285.7,0.05954,57.1,1200.0,228.45,76855,89.0,315.78,417.11,6.798,482.0,348.5,51.2,48.8,45.9
2014-07-03,152.3,7005,2089.9,257.7,0.04222,85.34,69.14,9339.9,27.26,65.6,44.7,28.28,0.682,288.7,0.06097,57.09,1192.0,226.56,75850,89.51,324.0,413.14,6.814,479.7,344.0,51.3,49.69,46.4
2014-07-04,149.13,6971,2062.9,253.9,0.04099,84.0,68.02,9249.7,26.595,64.54,45.0,27.786,0.693,283.4,0.05929,57.3,1186.0,222.05,76525,88.01,298.52,408.9,6.699,478.0,342.98,50.8,49.09,46.6
2014-07-07,150.31,7149,2113.0,248.99,0.04279,85.49,69.3,9480.0,27.0,65.92,45.4,28.0,0.6916,289.5,0.06024,58.26,1160.0,229.2,77163,90.9,304.65,413.0,6.775,481.3,340.0,51.5,50.1,48.0
2014-07-08,151.43,7280,2122.9,249.99,0.0428,85.11,69.02,9550.0,26.791,65.0,45.975,28.223,0.7048,293.0,0.05913,59.34,1113.4,230.5,76250,90.85,296.15,412.0,6.763,480.1,338.2,50.6,49.97,47.79
2014-07-09,150.4,7316,2104.9,247.95,0.04263,85.2,68.7,9660.0,26.99,65.25,46.25,28.62,0.7041,291.4,0.05882,59.73,1094.0,228.0,74800,91.09,296.7,410.3,6.816,481.2,335.0,50.3,49.53,47.5
2014-07-10,148.79,7210,2093.2,244.95,0.0417,84.47,67.29,9765.2,26.652,62.27,44.0,28.74,0.6793,287.8,0.05766,58.66,1077.8,225.91,74062,90.77,292.51,400.23,6.744,477.2,334.53,42.9,48.4,46.44
2014-07-11,148.15,7260,2105.0,246.01,0.04164,84.55,68.5,9890.0,26.9,62.12,44.702,28.706,0.6941,290.9,0.05837,59.1,1099.3,228.89,74505,89.03,296.9,400.0,6.693,477.2,331.0,38.5,48.9,47.1
2014-07-14,147.5,7263,2016.5,242.0,0.04116,83.55,68.0,9950.0,26.38,61.71,44.625,28.92,0.6805,293.5,0.05797,59.5,1118.9,231.0,74810,89.55,298.49,393.0,6.646,473.0,324.11,39.5,48.9,46.998
2014-07-15,146.52,7300,2018.0,241.92,0.04119,83.09,67.41,9800.0,26.022,61.64,44.75,26.85,0.6773,298.2,0.05724,59.0,1114.3,222.37,74997,90.18,298.36,401.0,6.8,465.9,326.75,42.7,49.47,45.8
2014-07-16,142.5,7160,2050.8,244.18,0.0413,83.78,67.74,9850.0,25.965,61.8,48.0,27.127,0.67,304.5,0.05706,59.43,1106.5,224.0,75450,92.62,298.0,400.1,6.92,506.0,327.0,41.4,49.99,42.6
2014-07-17,140.0,7135,2004.8,233.7,0.04069,81.5,65.55,9640.0,25.59,61.49,44.8,26.888,0.643,303.9,0.05608,57.33,1088.0,219.88,75000,90.79,290.38,378.0,6.887,524.0,327.0,40.0,49.9,40.851
2014-07-18,139.26,7010,1990.0,231.75,0.04049,80.27,63.7,9475.0,24.811,60.93,46.211,26.61,0.6345,302.0,0.05451,54.4,1072.3,216.96,72990,89.66,286.8,374.1,6.82,519.9,319.0,40.3,48.79,39.841
2014-07-21,136.01,6819,1940.0,225.91,0.0405,76.56,60.9,9285.1,24.555,58.75,43.87,25.25,0.61,303.9,0.05413,52.02,1047.5,215.28,73140,86.69,275.2,364.87,6.502,496.0,320.87,40.6,46.28,38.6
2014-07-22,137.75,7009,1970.0,226.76,0.04095,78.3,62.71,9380.0,24.851,60.1,42.215,26.289,0.6148,311.7,0.05481,53.73,1060.0,220.2,74210,89.1,276.5,368.0,6.556,504.7,323.5,39.9,47.72,39.6
2014-07-23,136.29,7145,1980.5,221.8,0.04025,77.45,61.76,9880.0,24.92,61.43,43.019,26.5,0.605,310.0,0.05428,53.98,1056.2,220.72,74200,89.94,272.98,365.57,6.463,515.0,323.16,41.3,47.36,39.4
2014-07-24,136.9,7219,2005.0,222.45,0.04014,76.87,61.8,9999.9,24.882,59.8,44.0,26.5,0.607,310.5,0.0536,53.76,1077.8,224.9,73790,91.46,271.99,358.0,6.681,500.8,322.0,40.3,47.92,37.3
2014-07-25,135.12,7039,1976.7,220.84,0.04038,75.16,61.0,9650.0,24.86,58.7,44.5,26.26,0.6076,310.1,0.0534,52.28,1075.1,224.48,73036,89.23,266.99,354.15,6.63,500.5,316.75,38.9,47.27,37.35
2014-07-28,132.0,6981,1957.0,218.21,0.0399,72.82,57.67,9610.0,24.586,55.5,42.652,25.4,0.5856,307.9,0.05143,50.48,1055.0,217.2,73470,87.54,260.5,350.0,6.49,490.4,319.86,39.8,46.2,36.5
2014-07-29,131.31,7030,1975.0,220.3,0.04012,73.2,57.17,9450.0,24.821,56.49,43.0,25.5,0.593,320.0,0.0518,50.44,1116.0,218.48,74096,88.45,269.3,355.74,6.595,489.7,319.5,38.8,47.65,37.2
2014-07-30,133.4,7083,2005.3,224.0,0.0396,73.68,57.74,9240.0,24.792,58.0,43.57,26.0,0.6068,331.3,0.05284,50.5,1120.0,216.25,73728,88.68,271.52,365.03,6.681,481.2,318.92,39.4,47.6,38.484
2014-07-31,132.0,7060,2000.9,223.0,0.0398,73.6,57.15,9150.0,24.86,56.94,44.1,26.33,0.6168,343.0,0.05259,50.55,1087.7,212.9,73800,87.8,275.91,365.5,6.78,482.1,308.95,38.5,47.5,39.4
2014-08-01,131.5,6953,1995.3,221.79,0.04,72.37,57.13,9209.0,25.511,57.48,44.0,26.25,0.5999,344.9,0.05379,49.53,1062.2,211.9,73580,89.73,278.6,363.5,6.757,481.5,306.75,37.3,47.3,38.4
2014-08-04,129.5,7000,1984.9,219.9,0.04124,72.75,56.58,9340.0,26.435,58.56,45.888,26.302,0.6011,343.1,0.055,49.9,1089.5,215.0,72900,89.67,282.16,366.6,6.78,485.5,312.0,37.3,47.73,38.0
2014-08-05,126.57,6856,1957.0,220.0,0.041,71.6,56.25,9247.0,25.365,59.2,44.8,26.25,0.5977,333.1,0.05437,46.97,1094.6,209.75,73557,89.41,275.0,355.35,6.758,488.0,310.6,36.5,47.0,38.1
2014-08-06,124.7,6733,1929.8,219.55,0.03901,69.0,52.64,9120.0,25.108,56.83,44.1,26.16,0.6175,328.3,0.05302,44.62,1060.1,209.5,74060,88.45,268.0,351.15,6.46,496.5,315.0,33.8,46.62,37.342
2014-08-07,126.92,6800,1932.7,221.0,0.0381,68.5,52.7,8648.0,25.072,56.01,43.87,25.38,0.6154,330.7,0.05221,44.44,1054.5,208.2,74486,89.25,268.79,357.2,6.38,485.6,329.77,31.3,46.83,38.611
2014-08-08,126.55,6883,1928.3,219.54,0.03754,70.7,53.7,8940.0,25.269,58.5,43.3,25.82,0.6415,334.1,0.05333,44.71,1033.5,208.33,76300,90.06,274.85,363.2,6.627,489.1,327.0,29.3,48.32,39.615
2014-08-11,128.3,6995,1947.1,221.38,0.03899,74.21,57.1,9025.0,25.47,59.0,42.695,26.3,0.634,337.5,0.05411,46.1,1053.0,212.7,77055,91.15,276.0,370.54,6.784,495.4,322.66,31.0,49.5,40.9
2014-08-12,128.0,6917,1953.7,221.65,0.0383,73.35,56.1,9075.0,25.355,58.65,43.78,26.62,0.6521,334.1,0.05381,45.4,1052.1,215.1,77455,95.7,280.6,373.45,6.751,490.0,321.7,29.5,48.99,41.5
2014-08-13,131.0,6980,1974.9,225.99,0.0391,74.84,56.96,9199.0,25.874,60.71,44.48,27.99,0.6833,338.5,0.05416,46.4,1054.6,220.67,78849,95.0,288.5,375.4,6.794,497.5,323.21,29.6,51.33,41.9
2014-08-14,131.41,6961,1991.0,226.3,0.03934,74.99,56.57,9260.0,26.25,59.8,44.0,28.0,0.6826,338.7,0.05426,48.25,1053.1,220.01,80989,94.25,294.0,384.56,6.79,496.0,331.84,30.1,50.81,42.51
2014-08-15,132.67,7025,2011.1,225.0,0.03931,75.05,57.09,9384.0,26.116,60.6,44.0,27.903,0.685,340.0,0.05466,48.6,1041.0,221.19,81780,95.85,298.0,391.0,6.82,492.9,333.0,31.0,51.4,43.3
2014-08-18,134.29,7065,2043.0,224.68,0.03928,75.15,56.8,9565.0,26.038,61.8,43.6,27.489,0.6889,343.1,0.05417,49.17,1032.0,223.94,82049,96.8,293.0,392.0,6.789,489.0,326.2,31.7,51.28,43.82
2014-08-19,136.2,7300,2063.9,227.4,0.03945,76.0,56.97,9550.0,26.59,63.8,43.299,26.955,0.7108,353.9,0.05589,49.71,1089.0,223.8,81300,98.17,290.25,391.0,6.871,488.7,322.02,32.0,52.83,43.92
2014-08-20,136.7,7447,2085.0,231.54,0.03957,76.9,57.79,9450.0,26.859,64.0,43.3,27.274,0.7077,362.6,0.05568,49.6,1109.7,232.0,81280,98.6,292.21,391.99,7.42,494.5,320.5,34.8,53.93,42.9
2014-08-21,136.49,7445,2100.6,233.0,0.03992,78.4,59.17,9700.7,27.15,64.99,43.7,27.699,0.706,363.1,0.05527,50.0,1089.2,235.0,83697,99.5,297.46,398.21,7.418,493.0,318.15,36.7,53.9,42.901
2014-08-22,135.0,7300,2085.0,230.03,0.03927,78.39,57.96,9690.0,26.583,64.25,43.4,27.6,0.703,360.5,0.05498,48.88,1050.0,230.5,82400,98.65,291.13,389.51,7.35,496.0,315.56,36.7,54.1,41.561
2014-08-25,136.09,7342,2088.0,231.69,0.04011,78.56,58.75,9698.0,26.65,64.94,43.5,27.644,0.7136,359.5,0.05608,49.41,1061.6,232.0,82764,98.7,294.5,391.62,7.55,494.5,317.5,36.8,54.29,42.83
2014-08-26,135.0,7252,2068.0,229.22,0.04,77.44,57.95,9769.9,26.5,66.2,43.85,27.63,0.6923,363.8,0.05471,48.31,1056.0,232.8,82243,99.0,293.22,384.5,7.396,493.3,310.0,35.4,53.83,41.5
2014-08-27,135.51,7300,2096.5,231.69,0.03981,77.93,58.1,9669.0,26.64,66.5,44.895,27.72,0.682,359.4,0.05511,48.37,1062.1,233.8,81200,99.0,299.01,383.0,7.439,498.5,324.5,34.8,54.08,39.9
2014-08-28,133.8,7280,2083.0,228.99,0.03838,74.59,55.85,9345.0,26.2,64.7,43.8,27.69,0.683,355.6,0.0549,46.7,1055.0,232.75,80800,98.5,295.8,375.05,7.334,500.0,326.26,33.7,53.58,38.9
2014-08-29,131.95,7230,2055.0,226.0,0.0384,73.21,55.13,9099.0,25.525,63.5,42.5,27.198,0.6933,359.5,0.054,46.73,1050.0,228.0,81499,99.0,281.87,368.0,7.347,498.0,326.89,32.9,53.26,37.719
